
===============================================================
                Cortex-M3 ICODE BUS TRACE
===============================================================

TIME(ns)     ADDRESS      INSTRUCTION    HTRANS   HRESP
 45080.000ns   000013f0   f000060b      NONSEQ      OKAY
 45120.000ns   000013f4   f026faa3      NONSEQ      OKAY
 45160.000ns   000013f8   1d230607      NONSEQ      OKAY
 45200.000ns   0000193c   f7ff4801      NONSEQ      OKAY
 45240.000ns   00001940   bf00bc94      NONSEQ      OKAY
 45280.000ns   00001944   20000068      NONSEQ      OKAY
 45360.000ns   00001268   47704770      NONSEQ      OKAY
 45400.000ns   0000126c   44024603      NONSEQ      OKAY
 45440.000ns   000013f4   f026faa3      NONSEQ      OKAY
 45480.000ns   000013f8   1d230607      NONSEQ      OKAY
 45520.000ns   000013fc   d0b61af2      NONSEQ      OKAY
 45560.000ns   00001400   50a31b9b      NONSEQ      OKAY
 45600.000ns   00001404   6862e7b3      NONSEQ      OKAY
 45680.000ns   0000136c   4630603b      NONSEQ      OKAY
 45720.000ns   00001408   bf0c42a3      NONSEQ      OKAY
 45760.000ns   0000140c   605a6032      NONSEQ      OKAY
 45800.000ns   0000136c   4630603b      NONSEQ      OKAY
 45840.000ns   00001370   81f0e8bd      NONSEQ      OKAY
 45920.000ns   00001374   f0004e2e      NONSEQ      OKAY
 45960.000ns   00001378   6833fadb      NONSEQ      OKAY
 46320.000ns   000010e0   4604f935      NONSEQ      OKAY
 46360.000ns   000010e4   2100b140      NONSEQ      OKAY
 46400.000ns   000010e8   1600e9c0      NONSEQ      OKAY
 46440.000ns   000010ec   60a0300c      NONSEQ      OKAY
 46520.000ns   000010f0   0268f105      NONSEQ      OKAY
 46560.000ns   000010f4   f8baf000      NONSEQ      OKAY
 46720.000ns   000010f8   bd704620      NONSEQ      OKAY
 46800.000ns   0000126c   44024603      NONSEQ      OKAY
 46840.000ns   00001270   d1004293      NONSEQ      OKAY
 46880.000ns   00001274   f8034770      NONSEQ      OKAY
 46920.000ns   00001278   e7f91b01      NONSEQ      OKAY
 47000.000ns   00001274   f8034770      NONSEQ      OKAY
 47040.000ns   00001278   e7f91b01      NONSEQ      OKAY
 47080.000ns   0000127c   4605b538      NONSEQ      OKAY
 47120.000ns   00001280   d0402900      NONSEQ      OKAY
 47160.000ns   00001270   d1004293      NONSEQ      OKAY
 47200.000ns   00001274   f8034770      NONSEQ      OKAY
 47240.000ns   00001278   e7f91b01      NONSEQ      OKAY
 47280.000ns   00001274   f8034770      NONSEQ      OKAY
 47320.000ns   00001278   e7f91b01      NONSEQ      OKAY
 47360.000ns   0000127c   4605b538      NONSEQ      OKAY
 47400.000ns   00001280   d0402900      NONSEQ      OKAY
 47440.000ns   00001270   d1004293      NONSEQ      OKAY
 47480.000ns   00001274   f8034770      NONSEQ      OKAY
 47520.000ns   00001278   e7f91b01      NONSEQ      OKAY
 47560.000ns   00001274   f8034770      NONSEQ      OKAY
 47600.000ns   00001278   e7f91b01      NONSEQ      OKAY
 47640.000ns   0000127c   4605b538      NONSEQ      OKAY
 47680.000ns   00001280   d0402900      NONSEQ      OKAY
 47720.000ns   00001270   d1004293      NONSEQ      OKAY
 47760.000ns   00001274   f8034770      NONSEQ      OKAY
 47800.000ns   00001278   e7f91b01      NONSEQ      OKAY
 47840.000ns   00001274   f8034770      NONSEQ      OKAY
 47880.000ns   00001278   e7f91b01      NONSEQ      OKAY
 47920.000ns   0000127c   4605b538      NONSEQ      OKAY
 47960.000ns   00001280   d0402900      NONSEQ      OKAY
 48000.000ns   00001270   d1004293      NONSEQ      OKAY
 48040.000ns   00001274   f8034770      NONSEQ      OKAY
 48080.000ns   00001278   e7f91b01      NONSEQ      OKAY
 48120.000ns   00001274   f8034770      NONSEQ      OKAY
 48160.000ns   00001278   e7f91b01      NONSEQ      OKAY
 48200.000ns   0000127c   4605b538      NONSEQ      OKAY
 48240.000ns   00001280   d0402900      NONSEQ      OKAY
 48280.000ns   00001270   d1004293      NONSEQ      OKAY
 48320.000ns   00001274   f8034770      NONSEQ      OKAY
 48360.000ns   00001278   e7f91b01      NONSEQ      OKAY
 48400.000ns   00001274   f8034770      NONSEQ      OKAY
 48440.000ns   00001278   e7f91b01      NONSEQ      OKAY
 48480.000ns   0000127c   4605b538      NONSEQ      OKAY
 48520.000ns   00001280   d0402900      NONSEQ      OKAY
 48560.000ns   00001270   d1004293      NONSEQ      OKAY
 48600.000ns   00001274   f8034770      NONSEQ      OKAY
 48640.000ns   00001278   e7f91b01      NONSEQ      OKAY
 48680.000ns   00001274   f8034770      NONSEQ      OKAY
 48720.000ns   00001278   e7f91b01      NONSEQ      OKAY
 48760.000ns   0000127c   4605b538      NONSEQ      OKAY
 48800.000ns   00001280   d0402900      NONSEQ      OKAY
 48840.000ns   00001270   d1004293      NONSEQ      OKAY
 48880.000ns   00001274   f8034770      NONSEQ      OKAY
 48920.000ns   00001278   e7f91b01      NONSEQ      OKAY
 48960.000ns   00001274   f8034770      NONSEQ      OKAY
 49000.000ns   00001278   e7f91b01      NONSEQ      OKAY
 49040.000ns   0000127c   4605b538      NONSEQ      OKAY
 49080.000ns   00001280   d0402900      NONSEQ      OKAY
 49120.000ns   00001270   d1004293      NONSEQ      OKAY
 49160.000ns   00001274   f8034770      NONSEQ      OKAY
 49200.000ns   00001278   e7f91b01      NONSEQ      OKAY
 49240.000ns   00001274   f8034770      NONSEQ      OKAY
 49280.000ns   00001278   e7f91b01      NONSEQ      OKAY
 49320.000ns   0000127c   4605b538      NONSEQ      OKAY
 49360.000ns   00001280   d0402900      NONSEQ      OKAY
 49400.000ns   00001270   d1004293      NONSEQ      OKAY
 49440.000ns   00001274   f8034770      NONSEQ      OKAY
 49480.000ns   00001278   e7f91b01      NONSEQ      OKAY
 49520.000ns   00001274   f8034770      NONSEQ      OKAY
 49560.000ns   00001278   e7f91b01      NONSEQ      OKAY
 49600.000ns   0000127c   4605b538      NONSEQ      OKAY
 49640.000ns   00001280   d0402900      NONSEQ      OKAY
 49680.000ns   00001270   d1004293      NONSEQ      OKAY
 49720.000ns   00001274   f8034770      NONSEQ      OKAY
 49760.000ns   00001278   e7f91b01      NONSEQ      OKAY
 49800.000ns   00001274   f8034770      NONSEQ      OKAY
 49840.000ns   00001278   e7f91b01      NONSEQ      OKAY
 49880.000ns   0000127c   4605b538      NONSEQ      OKAY
 49920.000ns   00001280   d0402900      NONSEQ      OKAY
 49960.000ns   00001270   d1004293      NONSEQ      OKAY
